"",gene_symbol,GSM1936737,GSM1936738,GSM1936739,GSM1936740,GSM1936741,GSM1936742,GSM1936743,GSM1936744,GSM1936745,GSM1936746,GSM1936747,GSM1936748,GSM1936749,GSM1936750,GSM1936751,GSM1936752,GSM1936753,GSM1936754
ENSG00000000003,TSPAN6,1738.0206,1498.9191,1618.6043,3028.5276,1326.2109,1164.3132,1232.3829,1312.3322,1028.7322,1050.7578,1043.1495,1004.1059,1266.5552,1340.4307,2182.0228,2467.926,1242.0465,1198.0438
ENSG00000000005,TNMD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,DPM1,905.122,795.4849,928.3607,1678.4634,931.8584,844.3742,1068.4249,1052.2028,980.1909,1069.4599,980.392,963.1766,935.3216,1057.9454,1967.934,2194.8936,1054.0014,1125.5863
ENSG00000000457,SCYL3,300.0993,252.4568,388.072,789.8356,536.6522,487.2592,300.2469,293.1071,378.16,319.7256,344.1581,356.3125,296.7478,394.7462,708.3113,860.5383,514.5735,515.4728
ENSG00000000460,C1orf112,315.2541,376.1671,192.8101,419.9576,217.6358,270.324,658.9817,677.1155,427.4986,412.7361,432.0151,474.966,286.4471,365.2764,424.774,544.2635,215.9737,249.903
ENSG00000000938,FGR,0,0,9.6943,32.5894,10.5735,7.0167,0,0,7.7382,10.3751,7.8166,3.3618,3.932,4.0031,25.5049,32.7574,5.0691,5.9589
ENSG00000000971,CFH,2795.9854,2585.8837,9700.1269,18388.5801,7275.5416,7011.0812,2580.4268,2719.0269,8855.0601,8518.3922,6310.7289,6156.3899,1761.1911,2085.6405,16578.0312,20417.739,6585.5012,6980.0884
ENSG00000001036,FUCA2,3680.0655,3434.1602,4302.1283,8415.9034,3457.4828,3290.575,4882.5708,4819.0217,5822.9756,5898.3874,4203.1323,4535.7888,4725.4835,4806.367,11610.454,13282.483,4677.6077,4963.0373
ENSG00000001084,GCLC,2456.4481,2871.901,3156.419,5992.6964,2227.2108,2325.9064,2229.139,2687.4099,2725.3613,2458.5614,2085.2615,2107.6646,2156.4741,2430.4878,3650.2989,4161.4174,2608.0907,2685.422
ENSG00000001167,NFYA,1217.598,1160.553,799.7997,1553.7766,1188.4802,1076.6451,1486.8466,1414.0008,967.0738,959.5882,1233.0802,1157.8273,1269.1335,1444.8397,1753.5433,2245.2309,1206.7775,1392.6564
ENSG00000001460,STPG1,336.4652,266.6645,172.4323,430.1887,198.0555,199.0016,570.8072,565.2871,582.345,568.8332,389.3271,430.3401,500.5477,593.777,806.074,978.6212,295.72,360.2748
ENSG00000001461,NIPAL3,3066.0205,3017.5981,2119.9821,4285.3662,1958.1879,2024.6803,5833.2095,5974.2323,5239.7146,4566.3918,4183.0739,4269.193,5436.0998,6651.4616,7694.8825,8692.9502,4071.9614,4297.1608
ENSG00000001497,LAS1L,813.4141,919.965,774.4615,1441.4693,799.2818,710.5646,1210.7652,1225.7547,976.2979,1087.5884,958.2103,1072.9653,954.8587,998.5956,1623.4317,1821.3759,825.8547,821.1754
ENSG00000001561,ENPP4,11.0786,15.1753,6.908,17.9606,17.1206,16.0564,43.9648,33.2215,18.8455,17.9552,24.0365,24.7951,22.8405,24.0825,61.2533,75.6089,17.9112,26.9788
ENSG00000001617,SEMA3F,1022.9261,859.1893,1080.8574,2100.0809,896.6701,848.9131,1079.4851,1300.7704,1582.0364,1392.7714,1072.5726,995.9557,1730.6413,1612.4451,4458.6889,4609.6704,1230.2643,1350.0193
ENSG00000001626,CFTR,130.068,138.4406,70.444,147.8318,9.91,25.6379,132.4764,115.078,132.9868,22.3883,80.5596,81.3011,218.0772,180.2192,233.037,256.3183,167.1078,138.7113
ENSG00000001629,ANKIB1,3279.7015,2854.6794,5991.9285,12168.8215,6535.7813,6408.8105,2771.4648,2801.8255,5689.1362,5154.244,5520.5409,5581.782,2947.3697,3285.6335,9919.4293,12973.3582,6609.4506,6748.4508
ENSG00000001630,CYP51A1,1822.3823,1518.3904,2684.3248,5659.8039,1376.7625,1471.7139,2132.976,2298.5772,3219.2612,3091.4436,1513.0971,1656.5753,2187.1119,2631.9042,6004.386,7183.3945,2561.2908,2737.3109
ENSG00000001631,KRIT1,992.2665,780.494,758.543,1634.0217,1010.3649,939.2827,780.2523,870.2917,843.3984,789.131,971.6031,935.7234,1027.3829,1031.8644,1724.8515,1988.1337,1267.0796,1339.5454
ENSG00000002016,RAD52,220.1588,139.7816,94.0647,242.5624,250.8363,184.9442,204.3835,156.7608,190.4488,130.6675,214.2838,182.2508,213.454,244.2925,188.0163,290.5338,266.2364,239.6464
ENSG00000002330,BAD,770.6157,723.4833,462.598,852.2341,589.0598,550.3032,819.9406,705.1191,537.793,587.2915,595.6177,613.6347,1388.5718,1215.898,1346.7157,1224.558,789.4764,858.9117
ENSG00000002549,LAP3,1749.8771,1629.5839,20866.6389,39883.5947,18562.4011,18141.5305,1960.5895,2013.4934,23346.6872,24170.3637,14110.3711,14013.6802,1847.3173,2025.6701,43990.1013,49231.0889,16385.4401,17624.2059
ENSG00000002586,CD99,13565.9439,12558.9056,11762.3623,22657.2434,12475.1224,12359.1601,14491.7275,14043.73,16607.1458,16890.8885,13691.8998,14392.4669,15013.3985,14972.0127,27355.3037,29759.5757,13082.7614,13555.6534
ENSG00000002587,HS3ST1,4.0324,14.7028,6.3752,7.2539,7.3129,4.5811,8.1578,9.182,15.2902,7.5941,5.5661,20.625,14.4011,10.994,62.2675,21.6621,7.2997,20.3227
ENSG00000002726,AOC1,3.232,4.7022,3.1236,5.0769,2.5242,1.2745,3.3409,0,0,0,0,5.1361,0.9869,0,9.5869,4.3004,1.9236,9.4467
ENSG00000002745,WNT16,725.8333,635.8965,503.6454,1034.5161,774.1667,689.6555,1637.553,1682.9516,1979.2002,1712.2116,1486.4481,1510.6841,2794.8794,3136.343,7258.1092,8248.2075,2804.2505,2792.0273
ENSG00000002746,HECW1,139.4709,143.4394,200.3661,446.6405,275.6412,265.8388,152.9574,103.6648,233.4335,131.8461,95.3448,184.1601,113.9048,103.1449,379.2374,453.1139,213.5508,185.9757
ENSG00000002822,MAD1L1,853.0056,953.9638,759.7954,1470.7059,915.0056,739.9116,1123.6525,1101.7843,1123.1393,1228.7832,914.0599,1017.9659,943.769,982.4007,1676.2556,1771.6633,752.3144,896.5169
ENSG00000002834,LASP1,28795.5151,29896.1513,20756.7511,43497.1185,25960.1008,26918.4044,25939.7124,26884.2471,21983.3347,22687.4398,23044.4199,23740.006,23637.6936,26433.0333,37656.6193,40716.3584,19261.2745,22262.1227
ENSG00000002919,SNX11,737.0748,868.8128,807.4346,1715.0696,806.3319,795.213,700.919,748.3835,907.8343,893.2006,662.6197,740.6113,753.1758,811.8379,1615.4763,1726.2575,781.3614,940.666
ENSG00000002933,TMEM176A,2212.536,2283.7529,1822.5053,3361.9583,1947.4794,1881.345,1636.049,1718.7585,1503.286,1709.2751,1247.7874,1350.9374,3694.7871,3814.1787,6560.9961,6653.798,3024.5962,3156.6618
ENSG00000003056,M6PR,3774.7355,3820.6451,4211.2724,8284.6614,4108.0592,3865.8425,4760.5921,4564.1851,4686.8855,4725.5318,4020.101,4395.7921,4024.7756,4537.1233,9954.1464,10703.6657,4762.4405,4644.8968
ENSG00000003096,KLHL13,125.8871,124.9132,100.3885,207.352,118.1838,121.8926,200.8929,166.1456,232.8952,239.9046,161.5998,138.648,395.9452,450.4176,528.5507,613.6288,454.7418,452.1032
ENSG00000003137,CYP26B1,76.9828,35.0354,68.9893,114.3247,28.6779,30.8887,76.9211,67.9119,60.8492,79.6281,54.7931,24.8097,145.3,304.618,658.1626,626.302,93.8491,113.405
ENSG00000003147,ICA1,20.2245,13.672,11.3504,11.8227,17.3698,16.2248,16.7659,9.4196,13.9505,16.452,12.1369,11.8243,12.2053,15.0893,44.1658,37.4181,18.34,38.2566
ENSG00000003249,DBNDD1,268.1933,296.84,122.5972,257.2203,192.9731,193.8786,741.5298,644.655,482.4691,521.0055,441.3435,491.5029,903.641,862.9102,790.2332,824.9873,489.2286,522.4969
ENSG00000003393,ALS2,1642.3729,1250.923,1042.693,2088.0397,1047.6822,946.7061,1500.9863,1403.1005,1168.1859,1157.4591,1045.541,1148.0269,1001.2807,1340.5083,1885.4593,2129.8744,1110.2054,1046.9939
ENSG00000003400,CASP10,28.4214,25.438,123.5027,183.2978,35.0801,95.3131,24.2303,28.8945,75.9803,111.795,58.6846,68.9238,38.5225,12.6197,202.5194,296.5313,43.5713,93.4755
ENSG00000003402,CFLAR,3111.2507,2745.6088,6564.6191,13395.945,8272.8248,8876.6268,3488.3759,3636.9083,5705.6899,5702.8047,7652.6336,7922.5151,2349.5354,2691.4652,12604.93,14378.8214,7908.0211,8994.0229
ENSG00000003436,TFPI,2930.2338,2628.286,4203.5296,7502.0101,2669.2823,2563.3275,5564.402,5596.5971,7531.3492,6869.7513,5022.4049,5095.0149,10468.312,11968.6764,27594.2195,35256.6,11130.6617,11130.5927
ENSG00000003509,NDUFAF7,355.7436,297.1518,330.0073,598.6547,238.8652,278.5737,411.5209,328.9659,383.8661,331.8608,268.5312,322.6214,460.9234,491.577,656.6838,885.4838,350.1527,328.7862
ENSG00000003756,RBM5,2864.5257,2593.7616,2799.9849,5600.6691,2562.8711,2520.6814,3157.645,2863.9923,2634.4841,2687.7542,2781.9384,2795.2012,3286.7217,3607.4682,5559.54,7438.8658,3544.951,3608.7813
ENSG00000003987,MTMR7,53.685,55.5004,30.8137,93.6338,54.7266,67.8551,64.878,52.5036,67.9172,37.2823,61.0995,58.6652,60.364,70.7891,83.3113,147.031,65.8739,70.9865
ENSG00000003989,SLC7A2,2200.0318,1920.9737,2034.5769,4669.7682,3171.6071,3282.4123,4503.7148,4987.8213,4016.3502,3373.9871,5536.0882,5634.2297,1941.0505,2352.9725,8952.0839,9890.2728,3448.1245,3470.7922
ENSG00000004059,ARF5,2422.0126,2383.6435,1718.2912,3358.9657,2169.4682,2211.9981,2197.8845,2194.915,1669.3838,1931.0408,2005.6979,2003.8856,2842.1887,2795.269,3515.635,3489.4502,2097.6751,2501.1309
ENSG00000004139,SARM1,945.5858,901.3622,693.3955,1392.1062,847.6634,842.5696,617.5032,532.9946,511.0852,540.7165,512.732,479.9781,737.1827,816.2913,1092.0031,1259.7608,698.0454,649.2522
ENSG00000004142,POLDIP2,3006.9185,3025.7186,2282.5426,4440.1716,2774.9656,2745.229,3580.9139,3327.2298,2925.1349,3211.3069,3120.4243,2972.5329,3338.8185,3655.0741,5091.1183,5395.4086,2868.0094,3055.2175
ENSG00000004399,PLXND1,3107.3351,2679.1923,4436.2844,8257.9002,2944.8673,3079.9544,3446.3716,3432.4403,3706.1405,3846.3151,3058.8823,3197.4905,3567.3555,3687.6587,9584.668,10896.2554,3733.5135,3870.3186
ENSG00000004455,AK2,2924.4638,2608.9554,3149.0123,5848.763,2637.2335,2482.4494,3118.4284,3294.5069,3380.5837,3263.5333,2680.3361,2790.008,2963.7839,3075.1342,5937.8258,6882.9416,2699.2926,2740.8739
ENSG00000004468,CD38,2.5842,0.5077,464.1838,735.5289,205.4702,255.2612,0,1.0238,274.9319,326.3437,84.6581,126.9042,2.0476,3.8673,1694.5832,1786.0653,518.883,588.6145
ENSG00000004478,FKBP4,1636.546,1785.6053,1133.2243,2645.8636,1221.8881,1238.7341,2000.5843,2171.2802,1343.9289,1563.659,1463.1636,1501.3448,1978.9449,2069.0236,2336.5424,2633.8956,1493.8485,1481.431
ENSG00000004487,KDM1A,3955.3851,3757.4797,2936.4389,5967.419,2491.9089,2589.6689,4630.1611,4182.5788,2945.9593,3437.1529,2951.6397,2879.9703,3671.4477,3830.0144,5366.8505,5975.9672,2675.5214,3033.5092
ENSG00000004534,RBM6,2193.6719,2048.2075,2029.8873,3978.2402,1783.756,1677.6902,2538.3094,2272.205,1958.5084,2551.7617,1655.0205,1806.9867,2826.8233,3011.5168,4842.3323,5464.1748,2133.9029,2096.9717
ENSG00000004660,CAMKK1,343.8778,286.9137,275.5963,564.6187,120.2155,140.2662,262.4479,235.2684,154.2188,174.6926,136.1793,147.8696,171.954,205.4837,258.9792,294.01,89.4162,129.135
ENSG00000004700,RECQL,4410.379,4094.5392,3543.4995,6990.7136,4396.7448,4460.309,4873.2386,5057.4899,4130.905,3983.4043,5029.1585,5132.7225,3699.8993,4476.7066,6815.4532,8434.3115,4460.6092,4982.4878
ENSG00000004766,VPS50,696.3092,646.8633,611.0179,1144.4778,595.8022,596.2249,771.9056,723.5199,599.0335,658.2241,536.6745,575.401,871.5446,854.2122,1321.5389,1617.1689,725.0487,712.4512
ENSG00000004776,HSPB6,2697.0319,2668.4079,1757.7131,3438.7477,2323.9242,2364.4437,3221.9325,2813.1992,2874.6936,2920.7145,2550.6636,2482.5389,4987.4734,4386.1954,6241.1359,6631.9919,3648.3074,3467.4292
ENSG00000004777,ARHGAP33,329.5051,222.7624,137.4289,246.151,107.393,144.2263,574.4587,417.7626,198.4001,286.6416,286.3039,308.4667,557.3365,591.2215,369.3671,467.5655,208.6513,188.9146
ENSG00000004779,NDUFAB1,1041.8816,975.8163,875.7378,1563.5991,1018.0015,944.752,1429.6832,1330.5075,1216.3059,1382.2228,1168.4615,1184.3595,1276.4917,1291.5904,2046.5598,2234.7169,1090.6659,1174.2996
ENSG00000004799,PDK4,19.2945,31.3317,17.0939,19.3429,63.3097,84.0822,15.141,22.1188,15.5801,11.195,36.5141,32.7496,381.8021,283.2814,554.2709,623.779,675.8241,555.1068
ENSG00000004809,SLC22A16,0.9376,6.5322,9.1533,15.324,17.4175,10.7008,8.3429,6.4928,5.2967,6.4254,11.6787,11.9134,8.3081,12.0664,9.6102,18.6865,16.6599,13.9855
ENSG00000004838,ZMYND10,17.4312,11.5785,2.8885,10.619,8.8437,17.8103,24.4166,19.2691,7.635,18.6193,24.7808,9.449,30.2375,35.1218,21.4959,52.2503,19.6473,17.1324
ENSG00000004846,ABCB5,8.1297,3.3657,1.9971,8.2261,2.8229,3.5366,5.0742,6.221,2.098,4.7036,5.0387,4.6902,6.6479,7.861,4.761,10.7376,8.5959,5.1473
ENSG00000004848,ARX,0,0,0,4.2423,0,1.0038,0,0,0,0,0,1.0399,0,0,0,0,0,0
ENSG00000004864,SLC25A13,837.9148,867.9003,766.3533,1541.854,780.1123,686.9121,925.4576,1044.4851,924.4389,830.0693,759.2826,783.2364,746.2373,816.0838,1355.5855,1639.1548,620.5474,786.0261
ENSG00000004866,ST7,853.5065,708.8465,1036.3521,1864.4654,913.4286,947.2178,915.8932,823.0009,918.9719,1045.3022,950.1147,812.7785,925.749,802.7414,2150.2191,2528.5916,1173.4878,1179.4011
ENSG00000004897,CDC27,4718.4466,5022.1374,5565.6272,11485.2354,6467.2903,6521.2902,6014.2247,5614.1927,6450.1237,5291.065,7264.3795,7077.5664,4507.9653,4855.9061,10403.126,12645.4534,6609.6547,7131.1362
ENSG00000004939,SLC4A1,4.0528,5.0981,4.7029,14.9152,0.7581,5.695,2.0447,4.2291,6.8623,5.7271,4.6288,11.7019,5.9174,9.6472,10.6622,18.0744,9.542,17.8718
ENSG00000004948,CALCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004961,HCCS,1027.1893,1063.2735,971.2356,2032.7748,1143.9027,1101.3518,1261.7265,1239.6597,1139.3457,1182.9092,1205.5857,1196.4603,997.1391,1007.7209,1896.4644,2399.3938,1047.337,1166.0308
ENSG00000004975,DVL2,1270.574,1163.7913,1018.2406,2011.1226,895.6585,911.7325,1358.8037,1240.749,1147.7866,1127.8833,865.1954,864.2512,1623.3511,1682.9273,2130.6203,2268.9268,1143.2857,1264.4914
ENSG00000005001,PRSS22,13.2445,1.1237,13.6754,34.9016,4.0494,9.2876,1.7909,4.816,2.368,7.8613,0,3.4678,0,2.4924,2.8965,1.3745,0,0
ENSG00000005007,UPF1,2963.4175,3038.6584,3211.7931,6568.3825,3194.5249,3078.6356,3490.7167,3474.0801,4094.2582,3911.6734,3495.1758,3450.7402,3840.2017,4147.4992,7950.6571,8112.0409,3422.7256,3464.5601
ENSG00000005020,SKAP2,1555.6116,1395.3166,889.5575,1745.9884,925.6418,921.7099,1490.3563,1781.1326,1133.8184,1126.1862,1107.6252,1072.5276,1770.6775,2001.111,1941.9189,2221.0056,1364.1897,1536.9458
ENSG00000005022,SLC25A5,3337.3207,3252.2535,2153.7486,4138.0164,3000.5713,2956.917,5221.2965,4910.8988,3272.3256,3419.4813,4108.4399,4369.2373,3503.6267,3551.2492,4927.39,5590.7554,2955.9097,3232.9269
ENSG00000005059,MCUB,239.5359,255.1482,522.3996,880.4289,1284.543,1257.6909,442.4623,441.3146,780.9704,887.6552,1256.7038,1267.006,267.9047,377.5175,1156.2299,1306.5836,1266.3237,1597.4038
ENSG00000005073,HOXA11,5.7257,5.7209,4.0263,9.8706,5.6992,5.1012,3.0613,5.1169,4.0367,5.0659,2.0431,1.0101,0,1.0227,1.0225,1.0134,3.0476,0
ENSG00000005075,POLR2J,672.8784,725.5399,378.9291,837.4222,620.6765,614.8107,985.0515,852.8807,644.1266,732.3896,846.27,754.907,1036.9461,979.5987,1258.6157,1296.1746,787.7148,877.1349
ENSG00000005100,DHX33,904.1927,945.4396,668.9806,1476.4697,765.8,750.4725,1138.2098,1239.771,905.8545,808.7752,927.3987,926.8978,884.1156,1066.0457,1716.2146,1966.7087,783.3989,894.2687
ENSG00000005102,MEOX1,276.4371,311.9663,557.1139,1288.2378,420.9415,479.3915,77.4562,97.2322,109.5792,131.7493,142.0686,144.9121,4.5948,1.1568,33.8048,32.8944,29.3127,42.4891
ENSG00000005108,THSD7A,34.7193,17.6056,4.2839,6.3535,32.3194,5.1116,17.9831,4.4871,21.2155,8.1973,4.4571,4.2958,41.074,16.1243,12.6525,35.6139,26.5396,12.9368
ENSG00000005156,LIG3,1139.1653,1309.4045,904.6143,2147.88,909.8491,796.3087,1381.1806,1420.9529,1039.5863,1028.8845,929.6928,946.1041,1060.426,1288.9934,1433.0106,1777.9347,1092.6949,914.9109
ENSG00000005175,RPAP3,1277.4332,1134.795,1347.9944,2813.1551,1677.8461,1660.7788,1188.5738,1199.8737,1205.2519,1259.0457,1476.7444,1207.9649,918.0643,1026.5223,2065.7954,2832.2921,1481.2505,1630.1833
ENSG00000005187,ACSM3,23.471,15.0864,19.946,36.386,24.7644,9.3507,3.0153,9.1609,8.2132,10.7085,16.0966,22.9985,8.2021,18.4203,23.9033,40.8138,7.5741,14.4143
ENSG00000005189,LOC81691,125.8063,79.2761,75.6456,151.9021,57.1533,64.4455,226.0576,133.2664,112.7567,126.2031,146.9931,125.5546,98.5931,146.6269,177.5407,195.3237,102.6222,89.2929
ENSG00000005194,CIAPIN1,1430.6263,1539.3025,1247.6529,2424.1418,1248.6533,1533.9496,1502.8864,1671.5995,1289.633,1492.2649,1113.3029,1343.6888,1388.2267,1750.774,2541.0428,2737.4918,1385.064,1326.7758
ENSG00000005206,SPPL2B,1476.8895,1542.5156,1461.9681,2796.6898,1349.0721,1252.0831,1586.1872,1410.8121,1615.1633,1649.8048,1223.3944,1259.8921,2059.2193,1837.9417,3371.4241,3512.1452,1584.1289,1406.8655
ENSG00000005238,FAM214B,1910.0965,1997.9319,1659.8615,3249.5185,1298.2468,1363.7986,1834.8961,1836.4439,1747.5434,1804.9852,1665.111,1620.9464,2157.4978,2196.1827,3460.3882,3915.4448,1446.8353,1583.9971
ENSG00000005243,COPZ2,1331.8422,1366.0115,881.4633,1709.2729,1129.5728,1130.6741,1146.433,1127.5742,953.3332,1067.8822,861.8514,944.7184,1524.6486,1556.0044,2135.912,2241.8379,987.809,1118.8576
ENSG00000005249,PRKAR2B,489.9084,424.903,517.1324,951.0099,915.431,919.9173,474.8465,565.3392,483.8769,493.4277,733.3371,632.3944,1355.677,1456.0655,2517.304,3021.8285,1743.3909,1868.599
ENSG00000005302,MSL3,1064.2027,958.5531,957.0824,1865.1774,1327.457,1161.8436,980.5969,896.7898,865.7846,877.5045,1105.0916,1142.9911,959.5902,1094.8099,1759.558,2262.345,1343.2573,1366.4623
ENSG00000005339,CREBBP,4024.683,3072.9194,2640.397,5870.8802,3377.2006,3339.9935,2571.892,3072.1559,2618.9746,2220.0752,2306.3546,2587.7272,3086.198,3548.8247,5925.425,7772.4847,3064.7184,4729.0078
ENSG00000005379,TSPOAP1,116.1675,64.8394,91.4587,111.4506,31.0614,54.0287,33.3075,37.764,30.0545,44.259,36.42,35.7627,62.4148,74.7192,126.3733,169.6419,71.8515,65.5551
ENSG00000005381,MPO,0.7112,0.7128,0.696,2.1099,0,5.2716,6.6848,0.7091,6.3939,0.7024,19.6108,0.6991,6.7335,2.83,4.6736,3.5061,8.9774,1.4074
ENSG00000005421,PON1,0,0,0,0.9277,0,0,0,0,0,0,0,0,0,0,0.9209,0,0,2.4186
ENSG00000005436,GCFC2,459.4467,427.0868,412.2909,582.2969,269.4988,256.4454,499.2061,553.3375,398.3263,414.9749,364.558,355.9736,536.1495,573.9734,744.0496,942.0882,448.3311,489.4965
ENSG00000005448,WDR54,483.8291,507.9398,278.0038,627.7771,371.2789,392.3272,595.4051,559.7853,415.7857,494.7376,448.2261,472.509,601.5943,604.4223,644.0871,659.5682,441.2536,459.0605
ENSG00000005469,CROT,1049.3806,1003.3429,987.2343,1890.9842,764.705,698.8191,931.8252,1063.2566,877.7096,900.0619,696.9602,664.2976,879.001,1037.3122,1289.4008,1610.7049,695.8007,742.7581
ENSG00000005471,ABCB4,13.9407,15.7925,52.2687,38.647,11.1688,6.3384,6.4606,7.7138,13.6122,12.3466,5.3564,12.8414,12.3744,17.3511,47.8515,43.8809,14.3797,13.0535
ENSG00000005483,KMT2E,3286.3924,3086.5097,2520.3521,5246.6608,2398.9025,2510.464,2561.1661,2803.4165,2719.1712,2184.882,2181.0651,1691.2391,3369.9142,4381.1616,4825.9973,6806.6555,2813.3651,2890.761
ENSG00000005486,RHBDD2,1729.2003,1537.9643,2003.7308,3924.999,1649.7451,1569.9954,1211.9345,1243.4323,1639.8439,1811.6094,1331.3664,1289.2396,2114.635,2229.7705,4541.3909,4345.648,2019.7322,2245.64
ENSG00000005513,SOX8,3.4138,6.84,14.9602,37.4117,23.8403,22.6095,9.0226,3.2866,6.7064,5.6162,6.779,7.8271,17.4275,12.2878,25.1693,28.0397,30.3207,25.883
ENSG00000005700,IBTK,1843.2794,1831.636,1460.5391,3033.9371,1533.5105,1494.6695,1373.9878,1445.9669,1534.2341,1438.1545,1236.8157,1303.25,1434.1111,1754.2345,2962.3513,3398.7873,1676.6944,1816.2629
ENSG00000005801,ZNF195,345.8383,307.0793,328.5108,683.0966,415.6945,362.2028,524.5254,446.6239,386.1708,381.4164,417.4817,443.5273,505.8669,574.7651,700.3649,989.1479,522.8528,596.097
ENSG00000005810,MYCBP2,2765.0942,2366.9517,3429.3633,6630.5925,4975.941,4735.2871,3094.8533,2710.6523,3564.469,3468.5365,4155.9849,4652.344,3330.2452,3536.9909,7394.9722,9870.9796,6167.8868,6656.9935
ENSG00000005812,FBXL3,2151.4292,2031.6132,1896.0486,3766.3119,2250.6537,2202.0141,1890.3781,1880.8771,1983.9837,1775.1429,1743.357,1778.0269,1763.7413,1983.4536,3441.2263,4172.2085,2282.9176,2325.2246
ENSG00000005844,ITGAL,0.616,1.0241,0.2888,34.6183,3.1773,9.519,19.8398,14.7873,11.0308,10.4654,5.669,3.5153,0,0,5.1858,16.8823,6.3265,7.2562
ENSG00000005882,PDK2,787.2947,787.9607,680.4539,1290.9119,578.4365,480.3236,555.4943,416.5192,506.5101,620.53,438.2465,508.0899,944.5306,1049.1828,1272.1064,1518.8615,694.6032,678.6192
ENSG00000005884,ITGA3,7258.1042,6798.5626,12291.4625,21852.926,7613.7962,7495.0507,9646.2473,9670.0829,18894.483,17240.0366,10188.6859,11356.4263,5965.0314,6610.1812,25520.8448,28514.9586,6435.4896,7094.0448
ENSG00000005889,ZFX,1543.0617,1273.1663,1213.2865,3110.7624,1818.7826,1813.4054,1653.3055,1352.0752,1478.9861,1398.4415,1152.1438,1549.7984,1451.1308,1756.179,2936.1735,3600.7935,1899.3443,1905.0686
ENSG00000005893,LAMP2,8634.6652,7820.2915,9444.8048,17935.9487,8814.6871,8570.6683,8141.6161,8450.6582,9125.1653,9004.8949,8429.7755,9028.2936,7384.2556,8477.6456,14617.0464,17980.1557,8262.626,8843.5382
ENSG00000005961,ITGA2B,30.0438,26.5163,11.4033,28.2124,24.8227,0.8771,2.6381,5.5127,10.1093,7.4947,22.3598,16.1871,20.2468,48.7283,27.6367,28.3459,10.8215,39.5831
ENSG00000005981,ASB4,4.986,0.9768,4.0148,11.052,2.1702,3.9848,6.9054,6.1255,6.0229,5.8895,2.8985,3.9275,5.0317,5.9314,4.9069,15.2742,4.1436,4.9656
ENSG00000006007,GDE1,3023.7079,2615.2496,2577.8313,4514.843,2630.5277,2661.7651,3097.264,3068.6476,3028.5103,2915.0961,2707.8912,2729.1415,4553.4007,4615.3269,6422.0164,7270.0425,3341.2907,3943.1661
ENSG00000006015,C19orf60,511.1954,510.3957,501.226,845.6697,461.4347,413.0174,567.1488,504.2301,582.6837,639.1383,460.0109,443.1097,639.9152,526.2319,934.2802,929.5538,483.106,441.4379
ENSG00000006016,CRLF1,321.5196,270.3851,459.8436,727.5444,351.3009,336.3761,382.2367,336.2219,267.3052,306.2009,373.9219,346.2523,511.1075,435.5729,746.4484,804.4112,580.1611,588.2205
ENSG00000006025,OSBPL7,288.3878,312.6251,391.5302,771.6486,189.9654,303.037,230.5182,228.4259,268.4622,409.2261,268.3896,167.3516,374.0523,417.3695,637.9986,740.8603,377.6365,253.1716
ENSG00000006042,TMEM98,3098.5442,2948.681,2224.2013,4293.4937,2609.9057,2777.4345,2615.79,2609.0915,2233.1132,2257.7295,2301.9069,2394.4314,3550.0605,3655.8644,4708.1049,5033.7882,3004.2354,3128.0823
ENSG00000006047,YBX2,9.4439,4.794,3.2242,12.0454,3.0244,3.2064,3.2949,2.1683,0,3.0438,1.0259,0,8.2999,3.2637,12.9332,8.3835,4.0834,4.068
ENSG00000006059,KRT33A,0,0,0,0.705,0,0,0,0.5296,0,0,0,0,0,0,0,0,0,0
ENSG00000006062,MAP3K14,235.5775,245.4988,279.1063,585.4511,521.8375,479.4599,291.4488,262.1164,308.6425,377.9241,467.6576,503.7515,296.9101,324.8236,588.3402,668.3598,587.0234,619.8011
ENSG00000006071,ABCC8,0,2.2749,0.8224,0,0.8376,0,0,0,0,0,0,0,0,0,3.3388,6.6921,0,0
ENSG00000006116,CACNG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006118,TMEM132A,4982.333,5002.7033,6094.4213,12199.2977,4821.8382,4887.2188,6380.2991,6852.3354,8123.8388,8792.9676,6709.4581,6954.5036,5804.8857,5411.9959,17837.8939,17217.0426,5706.2251,5374.2181
ENSG00000006125,AP2B1,12461.5905,11930.3884,10221.1572,20330.2652,10205.8311,10637.193,13386.9962,13869.3755,14193.4492,13240.7501,11975.0096,12413.1438,12715.8259,14648.6662,22093.7963,25916.5794,11496.7336,13144.0443
ENSG00000006128,TAC1,0,0,0,2.7625,1.0623,1.9747,0,0,0,0,1.1092,0.8276,0,0,0,2.1922,4.4237,1.0918
ENSG00000006194,ZNF263,864.8024,845.7328,903.5062,1861.9071,1011.9728,1000.632,801.1181,808.3439,978.9645,857.0676,966.0408,857.6013,843.6539,930.7995,1883.3401,2243.4715,1024.3632,1135.6936
ENSG00000006210,CX3CL1,10.9034,1.8155,15.4758,21.8452,34.4761,56.313,4.0616,6.4849,9.1306,15.1192,39.6171,20.0603,21.3458,10.4993,217.9577,176.3136,164.0577,167.604
