"",gene_symbol,GSM1936737,GSM1936738,GSM1936739,GSM1936740,GSM1936741,GSM1936742,GSM1936743,GSM1936744,GSM1936745,GSM1936746,GSM1936747,GSM1936748,GSM1936749,GSM1936750,GSM1936751,GSM1936752,GSM1936753,GSM1936754
ENSG00000144120,TMEM177,156.5682,133.3034,91.0692,160.8358,112.4773,116.5861,137.7183,124.8733,117.1817,119.4529,99.5561,116.8684,120.9489,131.2245,167.6957,208.7193,109.5787,151.017
ENSG00000144130,NT5DC4,2.6677,0,0.8823,1.7303,0.9168,30.8709,1.4458,2.6155,0,0,1.7932,0.8874,0,0,4.8583,1.8109,0,0.8964
ENSG00000144134,RABL2A,353.2811,314.4836,266.1281,509.1052,248.1855,243.3744,265.1955,223.4695,144.9863,218.3129,218.5549,228.6337,362.041,395.7383,341.0188,434.6378,330.6977,362.1027
ENSG00000144136,SLC20A1,6908.0827,6190.3725,4610.8957,9095.5069,7568.4625,7931.7595,9050.6446,8709.3738,5407.0208,5120.6316,9991.7441,10619.7674,5717.9888,6490.8518,9437.7845,11880.7701,6376.9628,6688.7343
ENSG00000144152,FBLN7,72.8493,88.1875,79.6071,187.5944,67.4561,57.651,112.3096,68.5585,76.1777,81.0684,82.8018,66.1354,135.7905,126.9775,263.1146,286.2816,97.6822,94.7924
ENSG00000144161,ZC3H8,114.6019,126.4791,94.5032,196.8357,100.7447,77.7573,172.6628,177.9143,97.5037,93.8616,100.0575,77.1488,104.1375,186.327,217.2468,213.2731,77.7146,91.7889
ENSG00000144182,LIPT1,67.674,52.6781,41.3849,133.4393,92.776,95.5818,75.9913,70.9363,38.8305,64.3768,75.0741,66.5098,77.3588,69.8919,117.9437,120.0471,114.3966,137.5607
ENSG00000144191,CNGA3,2.4156,0.8982,4.9506,10.0969,1.2614,1.7815,0.888,0,3.7251,1.7704,2.3987,0,4.4146,2.5156,38.2565,47.7101,7.156,4.9988
ENSG00000144199,FAHD2B,202.009,161.0254,116.1503,199.9288,121.5639,118.8415,115.6549,115.2427,126.125,108.1381,96.4062,78.1715,120.9151,158.528,163.0362,153.3213,92.1242,89.5379
ENSG00000144214,LYG1,5.9827,13.7462,12.2565,28.921,10.7816,14.378,13.5019,9.2686,9.1602,13.4846,7.2558,14.4928,19.2854,18.6557,30.2615,30.5471,16.6053,11.8363
ENSG00000144218,AFF3,2335.1478,2289.0118,1578.3161,3719.923,2092.4527,2106.754,1447.3486,1669.7185,1701.1227,1385.4514,1319.8903,1279.7399,1926.5015,2532.5913,3423.8416,4078.874,2217.0148,2257.2753
