"signature"	"rho"	"cscore"	"no_genes"
"IFN_Chaussabel_M5_12"	0.21	0.36	58
"IFN_SLE_Bennett"	0.2	0.44	26
"IFN_I_Aybey"	0.19	0.58	20
"IFN_Rice"	0.17	0.8	4
"IFN_Bilgic"	0.16	0.39	3
"IFN_Walsh"	0.16	0.94	6
"IFN_Chaussabel_M3_4"	0.14	0.5	59
"IFNg_Waddell"	0.11	0.07	10
"IFNa_Hallmark"	0.11	0.31	97
"IFN_Feng"	0.11	0.78	5
"IFN_Chaussabel_M1_2"	0.11	0.62	32
"IFN_MB_Staub"	0.08	0.64	10
"IFNg_Hallmark"	0.05	0.14	200
"IFN_II_Aybey"	-0.09	0.13	6
"IFNg_Dummer"	-0.12	0.06	5
"IFNg_Azizi_Platanias"	-0.14	0.04	11
"IFNg_Ayers"	-0.19	0.17	6
"IFNg_Ayers_extended"	-0.21	0.13	10
"IFNg_Sharma"	-0.27	0.18	25
