"signature"	"rho"	"cscore"	"no_genes"
"IFN_SLE_Bennett"	0.34	0.51	26
"IFN_Chaussabel_M3_4"	0.34	0.52	59
"IFN_I_Aybey"	0.32	0.71	20
"IFN_Walsh"	0.32	0.93	6
"IFN_Chaussabel_M1_2"	0.32	0.79	32
"IFN_Chaussabel_M5_12"	0.32	0.35	58
"IFNa_Hallmark"	0.31	0.35	97
"IFN_Bilgic"	0.31	0.76	3
"IFN_MB_Staub"	0.31	0.78	10
"IFN_Feng"	0.3	0.92	5
"IFN_Rice"	0.3	0.92	4
"IFNg_Hallmark"	0.25	0.13	200
"IFNg_Dummer"	0.09	0.29	5
"IFNg_Ayers"	0.06	0.22	6
"IFNg_Ayers_extended"	0.01	0.25	10
"IFNg_Azizi_Platanias"	-0.01	0.07	11
"IFNg_Waddell"	-0.02	0.12	10
"IFNg_Sharma"	-0.11	0.17	25
"IFN_II_Aybey"	-0.12	0.16	6
